perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
perp_wall_dist = -0.000000, g->size_y = 768, line_height = -2147483648, g->draw_start = -1073741440, end = -1073741440
